S2 LUI Lua binding table -- g_luiLuaBindings @ IDA 0x00B37F30, 664 entries
luaL_Reg {const char* name, lua_CFunction fn}, 16-byte stride.
Self-naming: name and pointer in the same record, so every name is PROVEN.

TransientZoneLoadedPhase                           0x001276D0
GetEstimatedVRAMUsageFromUISettingsMB              0x00127710
GetAvailableTextureMemMB                           0x00127750
HasNoDedicatedVRAM                                 0x00127790
ShouldWarnLowVRAM                                  0x001277D0
GetAdapterList                                     0x00127880
GetMonitorList                                     0x00127960
GetModeList                                        0x00127A40
DoesWindowSizeFit                                  0x00127B20
GetRefreshRateList                                 0x00127C40
GetVSyncControlDisable                             0x00127DA0
GetDisplayDriverMeetsMinVer                        0x00127DF0
GetKeyboardIsAzerty                                0x00127E30
GetNumShadowplayHighlights                         0x00127E70
OpenShadowplaySummary                              0x00127EB0
GetServerType                                      0x00127EC0
GetGavelMessages                                   0x00127F10
SetGavelMessagesSeen                               0x00128070
GetUIImageQualityOptions                           0x0012A350
GetUITemporalUpsampleOptions                       0x0012A690
SetRFullscreenAndRFullscreenWindow                 0x0012A930
HaveCustomizedIOTD                                 0x00128200
PopupErrorOnBlockedClanTag                         0x00128240
IsValidXUID                                        0x00128400
PlatformXUIDToHexXUID                              0x001284E0
InsertNumericDelimiters                            0x00128680
GetAnyNewItemBreadcrumbState                       0x00128740
GetNewItemCategoryBreadcrumbState                  0x00128860
GetNewItemBreadcrumbState                          0x00128990
SetNewItemBreadcrumbState                          0x00128AC0
ShouldGrantCSDReward                               0x00128C50
OnPushMenuInfoName                                 0x0012AA40
OnButtonOverName                                   0x0012AA50
EncodeFrontendPlayerIdentification                 0x0012AA60
DecodeFrontendPlayerIdentification                 0x0012AC60
VoteForPlayer                                      0x00129050
InviteViaHubSocialInteraction                      0x00129060
InvitePlayerByXuid                                 0x00129150
GetPresenceByXuid                                  0x00129230
GetWeaponReputation                                0x00129350
GetRGBFromInt                                      0x00129430
GetIntFromRGB                                      0x00129560
GetRowFromSwatchesTable                            0x001296E0
SystemRestart                                      0x00128D30
SendWinnersCircleData                              0x00128DA0
EarnedSupplyDropByXuid                             0x00128EE0
GetCurrentConnectionMatchId                        0x001298C0
ClearPostMatchSurvey                               0x00129930
SetPostMatchSurveyId                               0x00129940
GetPostMatchSurveyData                             0x00129A60
IsPostMatchSurveyAvailable                         0x00129B10
GetSurveyIDForEvent                                0x00129B50
GetSurveyById                                      0x00129C70
SendSurveyToParty                                  0x00129DE0
GameSurveyResponded                                0x00129F10
SendJoinedLobbyMsgToParty                          0x0012A2F0
SendStartFullHubMsgToParty                         0x0012A320
OnDedicatedServer                                  0x0012AD50
OnHubListenServer                                  0x0012ADE0
InMPRankedMatch                                    0x0012AE20
OnLANCreateGame                                    0x0012AEB0
GetNumLevelBriefingMaterials                       0x0012AEC0
GetLoadingBarProgress                              0x0012AF70
DirectTelemetryConnected                           0x0012AFA0
WorldToScreenPosition                              0x0012AFC0
GetSinEaseInOutRatio                               0x0012B260
GetIsHubInstanceStillAvailable                     0x0012B300
VideoOutCanChangeDisplayHDR                        0x0012B340
IsDisplayInHDRMode                                 0x0012B400
IsFullscreenAllowed                                0x0012B440
MeasureResourceEventStart                          0x0012B460
MeasureResourceEventEnd                            0x0012B470
UpdatePSPlusRealtimeMultiplay                      0x0012B480
ShowGamercardForXuid                               0x0012B490
GetLoginQueuePosition                              0x0012B560
GetLoginQueueWaitTime                              0x0012B610
GetLoginQueueNextUpdateTime                        0x0012B6C0
DoesVendorNeedDailyReset                           0x0012B770
GetTimeRemaining                                   0x0012BA20
GetSynchronizedTimeRemaining                       0x0012BAD0
GetNextResetTimeUTC                                0x0012BC10
ToggleZMQuestUpdates                               0x0012BD00
ToggleZMEORSummary                                 0x0012BDA0
ToggleZMHitMarkers                                 0x0012BE40
ToggleZMPlayerBreathing                            0x0012BEE0
GetZMQuestUpdates                                  0x0012BF80
GetZMEORSummary                                    0x0012C050
GetZMHitMarkers                                    0x0012C120
GetZMPlayerBreathing                               0x0012C1F0
IsVirtualLobbyOnly                                 0x0012C2C0
UseFullHubFlow                                     0x0012C300
UseAlternateHubFlow                                0x0012C340
AllowHubVendorMenu                                 0x0012C380
GetControllerIndexForLocalClientNum                0x0012C440
